text,word_count,sentiment
I absolutely love this place! The food is amazing and the service is great.,14,positive
The experience was awful. The staff were rude and the food was cold.,13,negative
It's an average restaurant. The food was okay but nothing special.,11,neutral
I had a fantastic time at the concert. The band played all my favorite songs.,15,positive
The movie was boring and too long. I wouldn’t recommend it to anyone.,13,negative
The book was informative and well-written. I enjoyed it.,9,positive
"The hotel was decent, but there were some issues with cleanliness.",11,neutral
I’m disappointed with the purchase. The item broke after a week.,11,negative
The customer service was excellent. I’m very satisfied with my purchase.,11,positive
"The class was okay, but the teacher could be more engaging.",11,neutral
I love the new features in the software update. It’s very user-friendly.,12,positive
I’m frustrated with the delays in the delivery. It’s been over a week.,13,negative
The product works as expected. It’s neither good nor bad.,10,neutral
I’m thrilled with the results. The project turned out better than expected.,12,positive
The noise levels in the office are unbearable. It’s hard to concentrate.,12,negative
The event was well-organized but could have used more interactive activities.,11,neutral
The restaurant exceeded my expectations. The food and ambiance were perfect.,11,positive
I’m unhappy with the service. The wait times were too long and the staff were unhelpful.,16,negative
The app is decent but has a few bugs that need fixing.,12,neutral
The service at the cafe was outstanding. I will definitely return.,11,positive
The online support was not helpful. I had to figure out the issue myself.,14,negative
"The product is okay, but the packaging was damaged upon arrival.",11,neutral
The hotel stay was pleasant and the staff were friendly.,10,positive
I am dissatisfied with the quality of the item. It does not meet the description.,15,negative
"The movie was enjoyable, though it had some slow parts.",10,neutral
The new feature is fantastic and really enhances the user experience.,11,positive
The service was subpar. I expected better based on the reviews.,11,negative
The class was fine but didn’t offer much new information.,10,neutral
I’m really impressed with the fast shipping and great product quality.,11,positive
The customer support was terrible. They didn’t resolve my issue.,10,negative
"The experience was neutral. Neither great nor bad, just average.",10,neutral
What a great day!!! Looks like dream.,7,positive
"I feel sorry, I miss you here in the sea beach",11,positive
Don't angry me,3,negative
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,14,negative
"Those who want to go, let them go",8,negative
"Its night 2 am, feeling neutral",6,neutral
2 am feedings for the baby are fun when he is all smiles and coos,15,positive
Soooo high,2,neutral
 Both of you,3,neutral
Today first time I arrive in the boat. Its amazing journey,11,positive
Love is something like E=MC^2 rules,6,neutral
I really really like the song Cardigan by Taylor Swift,10,positive
My Sharpie is running DANGERously low on ink,8,negative
i want to go to music tonight but i lost my voice.,12,negative
Always somewhere I miss you where I have been,9,neutral
Don't distrube me,3,negative
"I don't care, who are you and what can you do",11,negative
